Text,Pos,Neg,Neu,Compound
"You won't have to stick to Bitcoin if you're determined to pay for your movie ticket with cryptocurrency. AMC chief Adam Aron has revealed his theater chain will also accept Ethereum, Litecoin and Bi… [+1198 chars]",0.127,0.036,0.838,0.5574
"Four months after Twitter first introduced in-app tipping, the company is expanding its tip jar feature in a major way. The company is opening up tipping to all its users globally, and for the first … [+2390 chars]",0.0,0.0,1.0,0.0
"Its the countrys latest crackdown on digital currencies
Illustration by Alex Castro / The Verge
The Peoples Bank of China, the countrys central bank, said Friday that cryptocurrency transactions ar… [+1461 chars]",0.0,0.0,1.0,0.0
"A recently-installed Bitcoin ATM.

 

 As of today, Bitcoin is an official currency of El Salvador alongside the US dollar, after the Central American country became the first to adopt the cryptocur… [+2716 chars]",0.052,0.0,0.948,0.1779
"The government of El Salvador purchased at least 200 bitcoin recently, ahead of the country officially recognizing bitcoin as a form of legal currency on Tuesday. The purchase brings the governments … [+3142 chars]",0.046,0.0,0.954,0.128
"Twitter will now allow people to tip their favorite content creators with bitcoin and will also launch a fund to pay some users who host audio chat rooms on its Spaces feature, the company said on Th… [+2802 chars]",0.119,0.034,0.847,0.5423
"image captionProtesters held signs reading ""no to Bitcoin""
Thousands of protesters have taken to the streets in El Salvador, angry at the introduction of Bitcoin as its legal tender.
President Nayi… [+1352 chars]",0.04,0.195,0.765,-0.7096
"By Joe TidyCyber reporter 
Taxi driver Chris is obsessively checking his phone for updates.
""I'm set to lose almost 2,500 euros (£2,100) worth of cryptocurrency coins,"" he says.
Chris describes hi… [+6584 chars]",0.053,0.114,0.833,-0.296
"New York (CNN Business)It's a volatile day for bitcoin, which briefly fell by about 10% Tuesday below the $43,000 mark.
The drop comes after El Salvador made good on a plan announced in June and ado… [+1279 chars]",0.074,0.054,0.872,0.2023
"8. Were just days into September, and its time to start thinking about your spring garden.
Rather than following the common practice of planting and transplanting in spring, Rebecca McMackin, the di… [+494 chars]",0.0,0.0,1.0,0.0
"A representation of cryptocurrency Bitcoin is seen in this illustration taken August 6, 2021. REUTERS/Dado Ruvic/Illustration/File Photo/File Photo/File Photo/File PhotoSept 7 (Reuters) - Fintech Bit… [+1978 chars]",0.0,0.0,1.0,0.0
"A representation of cryptocurrency Bitcoin is seen in this illustration taken August 6, 2021. REUTERS/Dado Ruvic/Illustration/File PhotoSept 15 (Reuters) - AMC Entertainment (AMC.N) CEO Adam Aron sai… [+596 chars]",0.097,0.0,0.903,0.4215
"Posted 
El Zonte, El Salvador, home to 'Bitcoin Beach,' is looking to ride the cryptocurrency wave as bitcoin becomes legal tender in the Central American country. Conway G. Gittens reports.",0.049,0.0,0.951,0.128
Aug 27 (Reuters) - The first cryptocurrency ATM in Honduras opened this week as bitcoin backers sought to spur demand for virtual assets after neighboring El Salvador became the first country to esta… [+1733 chars],0.048,0.043,0.909,0.0516
"Posted 
El Zonte, El Salvador, home to 'Bitcoin Beach,' is looking to ride the cryptocurrency wave as bitcoin becomes legal tender in the Central American country. Conway G. Gittens reports.",0.049,0.0,0.951,0.128
Aug 27 (Reuters) - The first cryptocurrency ATM in Honduras opened this week as bitcoin backers sought to spur demand for virtual assets after neighboring El Salvador became the first country to esta… [+1669 chars],0.048,0.043,0.909,0.0516
"Robinhood plans to start a cryptocurrency wallet next month, the company announced on Wednesday. The tool will allow you to send and receive digital currencies, as well as trade them and move them of… [+1090 chars]",0.108,0.0,0.892,0.4588
"Twitter's latest beta update introduces support for providing content creators with Bitcoin tips using the ""Tip Jar"" feature that Twitter introduced earlier this year. Bitcoin isn't yet available to … [+1516 chars]",0.083,0.0,0.917,0.4019
"Bitcoin plunged as much as 17 per cent to its lowest level in a month as El Salvadors crypto rollout got off to a rocky start. 
The largest cryptocurrency fell as low as US$43,050 in New York Tuesda… [+4328 chars]",0.0,0.115,0.885,-0.5719
"Plunges as much as 17 per cent to US$43,050 
A woman holds a banner that reads ""No to bitcoin"" during a demonstration against the circulation of bitcoin in San Salvador, on Sept. 7, 2021.Photo by Ma… [+5898 chars]",0.038,0.06,0.902,-0.2023
